#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
11000,10.999999999999343,-279556.77960923105,2296.582763671875,-277260.19684555917,287.2755252598531,0
12000,11.999999999998789,-279803.1740858119,2482.2890625,-277320.8850233119,310.50520170949096,1.51
13000,12.999999999998234,-279717.92017592554,2411.123046875,-277306.79712905054,301.6031691580337,1.51
14000,13.99999999999768,-279624.2207698363,2522.9296875,-277101.2910823363,315.5888664824065,1.5
15000,14.999999999997126,-279767.29540546436,2383.78173828125,-277383.5136671831,298.1830926374718,1.5
16000,15.999999999996572,-279629.7410631349,2243.348876953125,-277386.3921861818,280.61659138180653,1.5
17000,16.999999999997794,-279612.67580818676,2368.607421875,-277244.06838631176,296.2849639111659,1.5
18000,17.999999999999016,-279548.1144437949,2346.78759765625,-277201.32684613863,293.5555602237947,1.5
19000,19.000000000000238,-279852.4791582089,2335.461181640625,-277517.01797656826,292.13875863420253,1.5
20000,20.00000000000146,-279810.6578609126,2274.72705078125,-277535.93081013137,284.5416323212227,1.5
21000,21.000000000002682,-279825.61974031385,2410.82958984375,-277414.7901504701,301.5664611307302,1.5
22000,22.000000000003904,-279716.69749474997,2368.52734375,-277348.17015099997,296.2749470784242,1.5
23000,23.000000000005127,-279716.41683150665,2499.183349609375,-277217.2334818973,312.6184785658742,1.5
24000,24.00000000000635,-279748.9341667239,2476.1552734375,-277272.7788932864,309.7379367527752,1.5
25000,25.00000000000757,-279552.42223467474,2432.68896484375,-277119.733269831,304.3008121562238,1.5
26000,26.000000000008793,-279552.97917463334,2482.8466796875,-277070.13249494584,310.5749530691924,1.5
27000,27.000000000010015,-279634.456610248,2386.41552734375,-277248.04108290427,298.5125487094766,1.5
28000,28.000000000011237,-279719.6059922116,2413.953369140625,-277305.652623071,301.9572092250296,1.5
29000,29.00000000001246,-279662.50098240824,2431.27392578125,-277231.227056627,304.123807392288,1.5
30000,30.00000000001368,-279734.4440988325,2430.536865234375,-277303.9072335981,304.0316097762903,1.5
31000,31.000000000014904,-279671.81821463676,2554.702880859375,-277117.1153337774,319.5633197247986,1.5
32000,32.00000000001612,-279792.1021254584,2331.675048828125,-277460.4270766303,291.6651578959145,1.5
33000,33.00000000001379,-279784.76874782844,2440.54638671875,-277344.2223611097,305.28368332988003,1.5
34000,34.00000000001146,-279967.4763606655,2501.887939453125,-277465.5884212124,312.9567909839007,1.5
35000,35.00000000000913,-279850.44781028514,2297.908447265625,-277552.5393630195,287.44135270432713,1.5
36000,36.0000000000068,-279688.5480656319,2403.501220703125,-277285.04684492876,300.6497682392426,1.5
37000,37.00000000000447,-279762.9808821144,2443.051513671875,-277319.9293684425,305.5970452834249,1.5
38000,38.00000000000214,-279741.3373141023,2412.43408203125,-277328.903232071,301.76716425505504,1.5
39000,38.99999999999981,-279807.2561898877,2339.159423828125,-277468.0967660596,292.601365287774,1.5
40000,39.99999999999748,-279807.989243424,2494.79443359375,-277313.1948098302,312.0694767299055,1.5
41000,40.99999999999515,-279867.647790059,2428.908203125,-277438.739586934,303.8278832786685,1.5
42000,41.999999999992816,-279941.0024329685,2301.703125,-277639.2993079685,287.9160223119626,1.5
43000,42.999999999990486,-279854.6330096752,2286.611572265625,-277568.02143740957,286.02824634876475,1.5
44000,43.999999999988155,-279842.77074211894,2436.30419921875,-277406.4665429002,304.753035507563,1.5
45000,44.999999999985825,-279766.8580458525,2427.447509765625,-277339.4105360869,303.64516769850485,1.5
46000,45.999999999983494,-279737.3022802737,2296.367431640625,-277440.9348486331,287.2485897522976,1.49
47000,46.99999999998116,-279790.04548548505,2438.97802734375,-277351.0674581413,305.0874999959387,1.49
48000,47.99999999997883,-279857.1677673725,2450.2900390625,-277406.87772831,306.50249977720233,1.49
49000,48.9999999999765,-279944.33463859034,2360.286376953125,-277584.0482616372,295.24409894063,1.49
50000,49.99999999997417,-279918.0913665417,2304.04052734375,-277614.05083919794,288.2084038871734,1.49
51000,50.99999999997184,-279938.0003903526,2347.70849609375,-277590.2918942589,293.67075380032435,1.49
52000,51.99999999996951,-279769.0195446722,2359.38525390625,-277409.634290766,295.1313790331616,1.49
53000,52.99999999996718,-279658.2995711266,2423.25244140625,-277235.04712972033,303.1204139271609,1.49
54000,53.99999999996485,-279858.8363554571,2594.142578125,-277264.6937773321,324.4967625457126,1.49
55000,54.99999999996252,-279815.44321166276,2348.8408203125,-277466.60239135026,293.81239425842216,1.49
56000,55.99999999996019,-279784.8146673295,2506.380615234375,-277278.4340520951,313.51877194765973,1.49
57000,56.99999999995786,-279743.533046857,2358.15673828125,-277385.37630857574,294.9777061601241,1.49
58000,57.99999999995553,-279914.0271032202,2384.41455078125,-277529.612552439,298.26225004743065,1.49
59000,58.9999999999532,-279866.9875682389,2440.876953125,-277426.1106151139,305.3250333040639,1.49
60000,59.999999999950866,-279730.9942333833,2474.965576171875,-277256.0286572114,309.5891196004875,1.48
61000,60.999999999948535,-279899.88219129236,2352.7392578125,-277547.14293347986,294.30004299384785,1.48
62000,61.999999999946205,-279863.8377666457,2320.397216796875,-277543.44054984883,290.2544335920407,1.48
63000,62.999999999943874,-279892.3530341115,2381.04638671875,-277511.30664739275,297.8409322897946,1.48
64000,63.999999999941544,-279786.9612155911,2364.2236328125,-277422.7375827786,295.73660339680555,1.48
65000,64.99999999994631,-279894.9549982389,2385.66943359375,-277509.28556464514,298.41922114588317,1.48
66000,65.99999999995109,-279769.21226742555,2350.316162109375,-277418.8961053162,293.9969421860385,1.48
67000,66.99999999995586,-279826.65062577854,2431.06982421875,-277395.5808015598,304.09827668444626,1.48
68000,67.99999999996064,-279853.5989692262,2528.54345703125,-277325.05551219493,316.29108310454956,1.48
69000,68.99999999996541,-279857.7470088687,2428.14990234375,-277429.597106525,303.7330287588643,1.48
70000,69.99999999997019,-279788.0324482246,2384.313720703125,-277403.7187275215,298.2496373891309,1.48
71000,70.99999999997496,-279733.5700596694,2325.1865234375,-277408.3835362319,290.85351959171794,1.48
72000,71.99999999997974,-279866.00474471855,2466.19580078125,-277399.8089439373,308.49212371964904,1.48
73000,72.99999999998451,-279658.96713652817,2264.493408203125,-277394.47372832504,283.2615238516058,1.48
74000,73.99999999998929,-279779.44374777813,2546.904052734375,-277232.53969504376,318.5877779409533,1.48
75000,74.99999999999406,-279675.9312940941,2373.50390625,-277302.4273878441,296.8974565863725,1.48
76000,75.99999999999883,-280002.105067343,2428.720703125,-277573.384364218,303.8044292312733,1.48
77000,77.00000000000361,-279785.9572915965,2407.644775390625,-277378.3125162059,301.1680782553777,1.48
78000,78.00000000000838,-279823.05343188863,2381.862060546875,-277441.19137134176,297.94296350378863,1.47
79000,79.00000000001316,-279676.45425296406,2446.757080078125,-277229.69717288594,306.0605681107227,1.47
80000,80.00000000001793,-279694.882436727,2400.4189453125,-277294.4634914145,300.26421179605927,1.47
81000,81.00000000002271,-279798.0416092809,2398.5576171875,-277399.4839920934,300.0313815130629,1.47
82000,82.00000000002748,-279887.6124923969,2367.88134765625,-277519.73114474065,296.19414055575777,1.47
83000,83.00000000003226,-279836.96347536804,2382.52783203125,-277454.4356433368,298.0262436955162,1.47
84000,84.00000000003703,-279912.9548138897,2444.447998046875,-277468.5068158428,305.7717290739206,1.47
85000,85.00000000004181,-279838.62837690907,2410.4609375,-277428.16743940907,301.52034705316925,1.47
86000,86.00000000004658,-279861.4851286996,2407.74658203125,-277453.7385466684,301.1808130701743,1.47
87000,87.00000000005136,-279915.99551577977,2374.927001953125,-277541.06851382664,297.0754691414074,1.47
88000,88.00000000005613,-279849.6957409885,2339.124267578125,-277510.57147341035,292.5969676538874,1.47
89000,89.00000000006091,-279948.65584640106,2357.02587890625,-277591.6299674948,294.83624893677165,1.47
90000,90.00000000006568,-279987.1101510556,2442.5888671875,-277544.5212838681,305.5391736430421,1.47
91000,91.00000000007046,-279916.9862954029,2308.6943359375,-277608.2919594654,288.79054067291275,1.47
92000,92.00000000007523,-279809.6968652693,2303.2578125,-277506.4390527693,288.110495454948,1.47
93000,93.00000000008001,-279883.8699461292,2347.596923828125,-277536.2730223011,293.65679742055926,1.47
94000,94.00000000008478,-279934.843211616,2358.9873046875,-277575.8559069285,295.08160026069515,1.47
95000,95.00000000008956,-279918.9877783034,2377.9501953125,-277541.0375829909,297.4536351165312,1.47
96000,96.00000000009433,-279821.03441936214,2395.9384765625,-277425.09594279964,299.7037577885108,1.47
97000,97.0000000000991,-279852.25088014634,2438.972412109375,-277413.27846803697,305.0867975960818,1.47
98000,98.00000000010388,-279892.86625019345,2403.88232421875,-277488.9839259747,300.6974398121383,1.47
99000,99.00000000010866,-279914.9708225926,2289.79052734375,-277625.18029524887,286.42589628513616,1.47
100000,100.00000000011343,-280020.2651619513,2405.49169921875,-277614.77346273256,300.8987537189473,1.47
