#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1000,1.0000000000000007,-538832.4202302585,21539.248046875,-517293.1721833835,251.20737827365758,0
2000,1.9999999999998905,-535513.6381037435,23947.416015625,-511566.22208811855,279.2932966193565,0.112
3000,2.9999999999997806,-535321.6696990742,25368.4296875,-509953.24001157423,295.86625767286614,0.112
4000,3.9999999999996705,-535470.8709235061,25621.873046875,-509848.9978766311,298.822110250027,0.112
5000,5.000000000000004,-535736.0244859653,25878.3125,-509857.71198596526,301.8129055909445,0.112
6000,6.000000000000338,-536600.351154546,25687.08984375,-510913.261310796,299.5827190013966,0.112
7000,7.000000000000672,-536949.641290725,25810.23046875,-511139.410821975,301.0188802591113,0.112
8000,8.000000000001005,-536990.4830867248,25850.015625,-511140.46746172477,301.48288553794094,0.112
9000,9.000000000000451,-537228.3689079355,25838.55859375,-511389.81031418545,301.3492647737969,0.111
10000,9.999999999999897,-538042.5533091072,25698.2578125,-512344.2954966072,299.7129684949827,0.111
11000,10.999999999999343,-538140.0932980636,26238.53125,-511901.5620480636,306.0140553987552,0.111
12000,11.999999999998789,-538234.4931506154,25972.5234375,-512261.96971311537,302.9116664465962,0.111
13000,12.999999999998234,-538767.0741492808,25796.4375,-512970.6366492808,300.8580159842417,0.111
14000,13.99999999999768,-539209.1834808891,25684.28125,-513524.90223088907,299.54996300773155,0.111
15000,14.999999999997126,-539649.7632546984,26048.732421875,-513601.03083282337,303.800474594591,0.111
