#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
11000,10.999999999999343,-279556.77960923105,2296.582763671875,-277260.19684555917,287.2755252598531,0
12000,11.999999999998789,-279803.1740858119,2482.2890625,-277320.8850233119,310.50520170949096,1.51
13000,12.999999999998234,-279717.92017592554,2411.123046875,-277306.79712905054,301.6031691580337,1.51
14000,13.99999999999768,-279624.2207698363,2522.9296875,-277101.2910823363,315.5888664824065,1.5
15000,14.999999999997126,-279767.29540546436,2383.78173828125,-277383.5136671831,298.1830926374718,1.5
16000,15.999999999996572,-279629.7410631349,2243.348876953125,-277386.3921861818,280.61659138180653,1.5
17000,16.999999999997794,-279612.67580818676,2368.607421875,-277244.06838631176,296.2849639111659,1.5
18000,17.999999999999016,-279548.1144437949,2346.78759765625,-277201.32684613863,293.5555602237947,1.5
19000,19.000000000000238,-279852.4791582089,2335.461181640625,-277517.01797656826,292.13875863420253,1.5
20000,20.00000000000146,-279810.6578609126,2274.72705078125,-277535.93081013137,284.5416323212227,1.5
21000,21.000000000002682,-279825.61974031385,2410.82958984375,-277414.7901504701,301.5664611307302,1.5
22000,22.000000000003904,-279716.69749474997,2368.52734375,-277348.17015099997,296.2749470784242,1.5
23000,23.000000000005127,-279716.41683150665,2499.183349609375,-277217.2334818973,312.6184785658742,1.5
24000,24.00000000000635,-279748.9341667239,2476.1552734375,-277272.7788932864,309.7379367527752,1.5
25000,25.00000000000757,-279552.42223467474,2432.68896484375,-277119.733269831,304.3008121562238,1.5
26000,26.000000000008793,-279552.97917463334,2482.8466796875,-277070.13249494584,310.5749530691924,1.5
27000,27.000000000010015,-279634.456610248,2386.41552734375,-277248.04108290427,298.5125487094766,1.5
28000,28.000000000011237,-279719.6059922116,2413.953369140625,-277305.652623071,301.9572092250296,1.5
29000,29.00000000001246,-279662.50098240824,2431.27392578125,-277231.227056627,304.123807392288,1.5
30000,30.00000000001368,-279734.4440988325,2430.536865234375,-277303.9072335981,304.0316097762903,1.5
31000,31.000000000014904,-279671.81821463676,2554.702880859375,-277117.1153337774,319.5633197247986,1.5
32000,32.00000000001612,-279792.1021254584,2331.675048828125,-277460.4270766303,291.6651578959145,1.5
33000,33.00000000001379,-279784.76874782844,2440.54638671875,-277344.2223611097,305.28368332988003,1.5
34000,34.00000000001146,-279967.4763606655,2501.887939453125,-277465.5884212124,312.9567909839007,1.5
35000,35.00000000000913,-279850.44781028514,2297.908447265625,-277552.5393630195,287.44135270432713,1.5
36000,36.0000000000068,-279688.5480656319,2403.501220703125,-277285.04684492876,300.6497682392426,1.5
37000,37.00000000000447,-279762.9808821144,2443.051513671875,-277319.9293684425,305.5970452834249,1.5
